,2015_Illapel_earthquake,2016_Taiwan_earthquake,2016_Sumatra_earthquake,2016_Afghanistan_earthquake,2016_Kumamoto_earthquakes,2016_Ecuador_earthquake,August_2016_Myanmar_earthquake,2016_Kaikoura_earthquake,2016_Aceh_earthquake,January_2017_Central_Italy_earthquakes,2017_Surigao_earthquake,2017_Leyte_earthquake,2017_Aegean_Sea_earthquake,2017_Jiuzhaigou_earthquake,2017_Ischia_earthquake,2017_Chiapas_earthquake,2017_Central_Mexico_earthquake,2017_Iran%E2%80%93Iraq_earthquake,2018_Swan_Islands_earthquake,2018_Hualien_earthquake,2018_Oaxaca_earthquake,2018_Papua_New_Guinea_earthquake,2018_Osaka_earthquake,2018_Hokkaido_Eastern_Iburi_earthquake,2018_Sulawesi_earthquake_and_tsunami,2018_Haiti_earthquake,2018_Anchorage_earthquake,2019_Luzon_earthquake,2019_Peru_earthquake,2019_Albania_earthquake,2019_Davao_del_Sur_earthquake,2020_Elaz%C4%B1%C4%9F_earthquake,2020_Caribbean_earthquake,2020_Oaxaca_earthquake
202,147.0,301,42,24,340,271.0,43,133.0,15.0,87,53.0,68.0,18.0,52,18,84,456.0,53.0,32,32.0,65.0,85,99.0,73.0,303.0,20,95,285,60,87,4,46,58.0,42
203,161.0,196,65,22,300,202.0,27,170.0,11.0,100,42.0,43.0,12.0,58,10,62,429.0,54.0,26,40.0,68.0,78,114.0,92.0,246.0,23,98,364,101,77,9,35,59.0,49
204,143.0,99,48,23,206,216.0,13,269.0,15.0,103,113.0,15.0,10.0,49,11,45,467.0,63.0,21,34.0,30.0,75,114.0,75.0,200.0,47,81,317,121,139,17,28,63.0,69
205,115.0,108,28,20,282,286.0,31,266.0,15.0,97,98.0,21.0,18.0,52,15,62,445.0,40.0,19,44.0,51.0,80,142.0,66.0,298.0,31,96,358,77,99,7,36,59.0,49
206,88.0,126,40,26,331,275.0,15,277.0,20.0,68,143.0,21.0,19.0,37,9,100,375.0,62.0,20,34.0,51.0,65,133.0,59.0,439.0,24,100,304,106,74,32,39,53.0,59
207,104.0,112,59,21,370,299.0,18,275.0,15.0,92,155.0,40.0,12.0,33,6,99,197.0,80.0,25,37.0,51.0,74,106.0,83.0,475.0,30,90,231,69,80,24,63,29.0,30
208,202.0,184,55,16,296,293.0,22,165.0,12.0,83,82.0,46.0,14.0,42,3,101,345.0,64.0,47,33.0,55.0,71,117.0,143.0,408.0,34,92,159,92,73,32,37,28.0,20
209,207.0,116,51,13,302,199.0,26,172.0,12.0,81,112.0,44.0,14.0,55,25,117,520.0,65.0,27,48.0,69.0,38,93.0,73.0,355.0,23,76,203,60,72,19,35,54.0,26
210,207.0,103,49,12,244,164.0,15,202.0,11.0,89,94.0,43.0,11.0,41,6,105,534.0,77.0,26,35.0,72.0,60,95.0,54.0,321.0,27,84,417,39,125,11,30,45.0,63
211,261.0,75,51,20,289,389.0,17,299.0,29.0,91,82.0,23.0,10.0,33,8,72,498.0,52.0,30,33.0,33.0,91,124.0,80.0,289.0,38,70,312,40,156,19,33,212.0,29
212,276.0,78,52,12,442,537.0,13,306.0,51.0,68,129.0,28.0,28.0,31,13,75,463.0,53.0,19,77.0,44.0,96,144.0,56.0,371.0,21,83,277,52,138,5,40,91.0,32
213,205.0,100,47,21,472,419.0,12,251.0,33.0,59,178.0,69.0,23.0,25,13,104,493.0,70.0,15,69.0,45.0,82,137.0,55.0,514.0,28,82,278,55,111,11,21,167.0,24
214,594.0,100,62,17,419,476.0,12,250.0,49.0,64,109.0,68.0,13.0,47,10,104,269.0,51.0,20,46.0,63.0,76,169.0,65.0,506.0,28,80,222,63,80,44,32,118.0,20
215,555.0,121,61,14,396,428.0,24,221.0,57.0,168,82.0,46.0,17.0,28,13,164,301.0,46.0,15,56.0,71.0,137,129.0,73.0,474.0,18,102,137,57,68,16,25,64.0,35
216,370.0,102,49,11,412,339.0,6,154.0,30.0,493,87.0,44.0,14.0,37,16,97,475.0,55.0,16,64.0,66.0,113,95.0,86.0,392.0,15,337,223,59,118,23,35,81.0,22
217,329.0,105,48,35,323,280.0,9,212.0,21.0,221,72.0,42.0,24.0,34,8,95,545.0,79.0,18,62.0,31.0,146,128.0,85.0,361.0,17,303,178,73,83,19,30,69.0,22
218,294.0,109,53,39,266,346.0,13,281.0,12.0,179,58.0,32.0,5.0,36,16,64,393.0,89.0,10,72.0,29.0,147,111.0,72.0,231.0,26,1408,530,68,75,25,29,74.0,26
219,247.0,125,42,53,251,465.0,6,305.0,29.0,119,148.0,21.0,13.0,19,20,96,519.0,62.0,12,48.0,37.0,138,132.0,65.0,272.0,29,437,416,49,62,15,16,70.0,30
220,146.0,167,32,44,1428,519.0,10,239.0,19.0,91,163.0,42.0,14.0,20,7,84,535.0,62.0,7,50.0,46.0,107,111.0,48.0,304.0,20,330,326,67,72,45,45,74.0,28
221,152.0,134,40,43,2320,313.0,12,256.0,22.0,125,162.0,48.0,23.0,15,10,164,208.0,61.0,36,40.0,43.0,111,104.0,73.0,428.0,32,230,176,91,58,19,30,61.0,12
222,235.0,161,60,22,1013,361.0,14,169.0,41.0,97,157.0,41.0,17.0,29,11,194,212.0,59.0,26,47.0,50.0,70,69.0,77.0,392.0,29,160,183,55,54,27,37,58.0,37
223,190.0,145,47,22,654,322.0,8,150.0,38.0,107,133.0,37.0,14.0,19,3,144,400.0,63.0,19,64.0,50.0,67,81.0,79.0,414.0,12,138,240,64,87,8,38,62.0,29
224,167.0,108,61,27,457,234.0,14,171.0,40.0,129,67.0,29.0,19.0,23,9,147,466.0,62.0,55,43.0,65.0,76,114.0,73.0,308.0,35,598,226,59,72,23,45,66.0,29
225,166.0,66,35,33,409,298.0,13,190.0,52.0,140,74.0,18.0,9.0,25,7,68,358.0,52.0,22,53.0,82.0,107,121.0,72.0,226.0,34,190,201,110,79,37,37,64.0,20
226,97.0,90,49,52,446,396.0,14,252.0,47.0,97,112.0,47.0,10.0,24,13,63,436.0,68.0,21,51.0,89.0,107,116.0,50.0,238.0,26,117,274,174,63,25,32,59.0,25
