,2015_Bangkok_bombing,2015_Chattanooga_shootings,Umpqua_Community_College_shooting,June_2016_Tel_Aviv_shooting,2016_shooting_of_Almaty_police_officers,Botroseya_Church_bombing,August_2016_Gaziantep_bombing,July_2016_Kabul_bombing,Orlando_nightclub_shooting,Sagamihara_stabbings,Al-Faqma_ice_cream_parlor_bombing,Manchester_Arena_bombing,2017_Nasiriyah_attacks,2017_Peshawar_Agriculture_Directorate_attack,Quebec_City_mosque_shooting,2017_Quetta_church_attack,2017_Sinai_mosque_attack,Sutherland_Springs_church_shooting,2017_Tehran_attacks,Ahvaz_military_parade_attack,Campinas_Cathedral_shooting,Carcassonne_and_Tr%C3%A8bes_attack,2018_Minya_bus_attack,2018_M%C3%BCnster_attack,2018_Ouagadougou_attacks,2018_Strasbourg_attack,Thousand_Oaks_shooting,Toronto_van_attack,2019_Altamira_prison_riot,"Aurora,_Illinois_shooting",2019_Dayton_shooting,2019_Jolo_Cathedral_bombings,17_August_2019_Kabul_bombing,Paris_police_headquarters_stabbing,2019_Sri_Lanka_Easter_bombings,Kabul_gurdwara_attack,Pakistan_Stock_Exchange_attack
90,1996,361,532,51,6,20.0,31,47,79,91,18,4,30,18,136.0,14,117.0,579,181,81.0,5,75,29,13.0,30.0,103.0,614.0,552.0,34.0,155.0,685,158,57.0,89,1302,31,19
91,1625,283,541,26,5,32.0,39,36,107,67,18,10,30,24,148.0,8,95.0,615,139,62.0,8,74,21,18.0,24.0,107.0,658.0,9616.0,19.0,131.0,705,167,44.0,66,1477,17,30
92,1519,290,740,31,8,44.0,36,39,62,115,12,3,26,15,184.0,13,125.0,744,143,57.0,67,55,35,17.0,24.0,94.0,723.0,5916.0,17.0,109.0,797,156,72.0,327,1495,20,32
93,1499,232,724,29,4,38.0,34,27,29,96,25,5,29,24,247.0,15,114.0,730,124,74.0,78,75,31,15.0,20.0,102.0,734.0,3161.0,20.0,101.0,891,157,47.0,202,1475,23,22
94,1116,229,751,40,8,35.0,49,51,22,95,19,2,29,24,204.0,13,100.0,812,114,47.0,68,85,31,19.0,38.0,255.0,814.0,1824.0,18.0,128.0,769,153,61.0,101,1403,16,19
95,834,305,1192,38,7,28.0,30,39,34,92,18,3,23,17,167.0,21,112.0,731,129,64.0,48,83,29,28.0,27.0,330.0,663.0,1327.0,22.0,152.0,1164,122,44.0,84,1585,27,20
96,609,277,1297,35,10,25.0,34,54,34,84,18,2,69,10,200.0,14,115.0,540,156,53.0,39,104,31,22.0,25.0,278.0,768.0,965.0,23.0,140.0,1484,108,40.0,61,1294,24,21
97,742,287,1130,43,7,21.0,41,45,46,69,20,4,28,26,136.0,18,105.0,696,113,77.0,42,95,25,21.0,15.0,562.0,822.0,1722.0,30.0,217.0,842,79,39.0,53,1127,27,21
98,643,241,876,31,7,23.0,28,33,60,82,20,7,17,21,152.0,15,99.0,747,133,69.0,22,84,28,17.0,23.0,238.0,772.0,1118.0,18.0,116.0,825,98,39.0,56,1325,30,27
99,1362,321,910,33,2,27.0,31,37,75,68,20,3,44,15,216.0,15,121.0,1157,157,92.0,23,89,28,18.0,15.0,207.0,880.0,979.0,17.0,153.0,794,97,51.0,44,1408,32,21
100,842,189,586,30,6,35.0,37,37,85,87,12,3,23,20,215.0,16,130.0,811,261,73.0,22,63,23,21.0,16.0,157.0,902.0,747.0,17.0,101.0,710,121,61.0,43,1444,27,20
101,592,199,581,39,11,28.0,36,35,47,77,16,1,15,18,182.0,13,109.0,1862,191,73.0,12,94,26,15.0,23.0,163.0,1346.0,822.0,41.0,104.0,802,129,50.0,41,1368,23,14
102,578,251,679,39,8,48.0,36,31,61,70,12,7,17,18,158.0,15,92.0,17857,213,68.0,7,76,26,14.0,21.0,149.0,960.0,817.0,34.0,94.0,1151,80,57.0,35,1525,15,40
103,543,284,708,41,7,37.0,28,38,50,96,22,5,22,19,149.0,24,102.0,73650,172,60.0,13,60,23,11.0,28.0,135.0,942.0,808.0,18.0,140.0,1159,106,50.0,28,2431,28,22
104,574,225,691,37,7,28.0,37,24,46,77,17,2,8,21,157.0,20,85.0,11625,156,60.0,9,74,24,80.0,25.0,122.0,862.0,780.0,21.0,107.0,756,70,67.0,45,1505,20,16
105,527,342,620,48,3,38.0,16,36,49,93,25,4,21,14,173.0,23,111.0,8882,132,57.0,15,73,28,39.0,12.0,94.0,712.0,976.0,20.0,211.0,747,81,42.0,30,2455,13,34
106,496,282,608,38,5,27.0,23,36,67,57,24,2,34,16,165.0,18,121.0,7725,151,67.0,10,80,27,28.0,14.0,129.0,692.0,956.0,14.0,1447.0,939,107,48.0,35,1946,32,29
107,457,161,4314,31,22,32.0,33,35,45,61,43,5,18,13,158.0,25,96.0,6691,114,51.0,11,72,28,45.0,26.0,73.0,689.0,798.0,9.0,373.0,903,103,51.0,23,1591,20,20
108,512,196,1742,33,9,18.0,37,48,2,77,59,6,23,16,146.0,22,136.0,6822,117,87.0,8,78,29,40.0,13.0,113.0,668.0,643.0,12.0,313.0,745,105,50.0,32,1376,24,19
109,872,221,642,52,12,26.0,36,33,12,82,200,3,18,13,197.0,17,101.0,9082,124,71.0,10,76,29,22.0,22.0,106.0,638.0,948.0,18.0,254.0,784,88,66.0,20,1405,28,44
110,650,226,517,30,3,48.0,28,38,56,79,251,9,19,13,150.0,16,90.0,9406,131,69.0,9,84,39,18.0,20.0,114.0,603.0,763.0,16.0,211.0,635,80,55.0,44,1181,22,37
111,557,380,599,17,7,36.0,33,37,61,84,244,7,30,19,149.0,21,100.0,8748,146,67.0,7,72,31,30.0,23.0,95.0,614.0,650.0,27.0,170.0,530,65,55.0,39,1113,19,20
112,623,310,526,43,4,33.0,71,47,61,64,136,7,29,14,143.0,11,70.0,8058,131,61.0,9,75,30,12.0,12.0,85.0,570.0,685.0,15.0,151.0,613,81,50.0,33,1415,23,26
113,476,263,530,51,3,45.0,960,39,65,82,30,10,31,19,167.0,19,149.0,6582,113,74.0,9,110,21,98.0,18.0,107.0,609.0,726.0,12.0,133.0,616,89,51.0,30,1475,29,31
114,444,131,574,30,1,33.0,322,46,52,92,24,8,19,20,863.0,14,179.0,5599,116,58.0,4,98,23,66.0,32.0,87.0,506.0,540.0,22.0,137.0,662,95,39.0,22,1309,30,42
115,387,196,476,22,5,37.0,166,25,47,78,20,1,20,16,583.0,8,137.0,15378,101,55.0,6,104,32,31.0,11.0,102.0,466.0,504.0,17.0,140.0,606,93,46.0,33,1247,27,22
116,438,220,547,22,0,36.0,119,31,58,53,12,5,25,19,397.0,13,133.0,8451,109,61.0,5,90,33,24.0,15.0,90.0,530.0,535.0,40.0,121.0,548,112,50.0,42,1217,24,14
117,319,5492,498,34,9,49.0,83,36,43,96,22,4,18,20,357.0,10,119.0,5354,206,50.0,8,94,31,31.0,16.0,104.0,612.0,512.0,27.0,110.0,624,78,28.0,32,1183,24,17
118,335,618,551,26,5,41.0,97,33,34,96,12,3,19,19,343.0,16,101.0,4685,172,49.0,6,71,20,16.0,18.0,94.0,570.0,541.0,22.0,96.0,635,63,33.0,34,1111,34,38
119,405,506,603,27,11,1181.0,131,37,39,91,14,2,11,29,382.0,35,109.0,4328,139,51.0,7,86,25,13.0,17.0,80.0,599.0,530.0,24.0,91.0,676,96,38.0,27,1332,25,35
120,424,322,762,36,4,965.0,79,27,38,72,13,6,20,26,682.0,20,110.0,4459,137,48.0,5,71,35,16.0,22.0,78.0,565.0,600.0,27.0,90.0,711,120,36.0,34,1818,34,88
121,340,1069,435,33,15,380.0,111,101,64,84,20,6,21,17,591.0,19,125.0,4256,146,51.0,4,109,28,12.0,19.0,83.0,509.0,520.0,11.0,81.0,542,78,46.0,14,1355,24,41
122,349,953,414,38,7,241.0,138,62,55,107,10,4,16,16,359.0,21,125.0,4958,146,58.0,6,96,26,23.0,18.0,79.0,539.0,538.0,8.0,128.0,591,96,38.0,35,1194,18,30
